Name,Rating,Genres,Platforms,ESRB,Rating_scaled,ESRB_cat,Genres_list,Platforms_list,db_id
Portal,4.49,"Action, Puzzle","Macos, Pc, Android, Playstation 3, Xbox 360, Linux, Nintendo Switch",Teen,1.3185706140894025,5,"['action', 'puzzle']","['macos', 'pc', 'android', 'playstation 3', 'xbox 360', 'linux', 'nintendo switch']",1551
Half-Life 2,4.48,"Action, Shooter","Pc, Macos, Xbox 360, Linux, Xbox, Android",Mature,1.3035278827667245,3,"['action', 'shooter']","['pc', 'macos', 'xbox 360', 'linux', 'xbox', 'android']",1552
Borderlands 2,4.01,"Action, Shooter, Rpg","Playstation 3, Macos, Pc, Android, Linux, Ps Vita, Xbox 360",Mature,0.596519510600824,3,"['action', 'shooter', 'rpg']","['playstation 3', 'macos', 'pc', 'android', 'linux', 'ps vita', 'xbox 360']",1553
Life Is Strange,4.12,Adventure,"Ios, Pc, Linux, Playstation 3, Macos, Xbox 360, Android, Playstation 4, Xbox One",Mature,0.7619895551502903,3,['adventure'],"['ios', 'pc', 'linux', 'playstation 3', 'macos', 'xbox 360', 'android', 'playstation 4', 'xbox one']",1554
Limbo,4.14,"Action, Adventure, Indie, Puzzle, Platformer","Pc, Android, Ps Vita, Playstation 4, Playstation 3, Xbox 360, Linux, Macos, Ios, Xbox One, Nintendo Switch",Teen,0.792075017795647,5,"['action', 'adventure', 'indie', 'puzzle', 'platformer']","['pc', 'android', 'ps vita', 'playstation 4', 'playstation 3', 'xbox 360', 'linux', 'macos', 'ios', 'xbox one', 'nintendo switch']",1555
Terraria,4.07,"Action, Indie, Platformer","Xbox 360, Wii U, Nintendo 3Ds, Xbox One, Playstation 4, Ios, Pc, Macos, Linux, Nintendo Switch, Playstation 3, Ps Vita, Android",Teen,0.686775898536897,5,"['action', 'indie', 'platformer']","['xbox 360', 'wii u', 'nintendo 3ds', 'xbox one', 'playstation 4', 'ios', 'pc', 'macos', 'linux', 'nintendo switch', 'playstation 3', 'ps vita', 'android']",1556
Grand Theft Auto: San Andreas,4.51,Action,"Macos, Pc, Ios, Xbox, Android, Playstation 4, Playstation 3, Playstation 2, Xbox 360, Xbox One",Mature,1.3486560767347593,3,['action'],"['macos', 'pc', 'ios', 'xbox', 'android', 'playstation 4', 'playstation 3', 'playstation 2', 'xbox 360', 'xbox one']",1557
The Walking Dead: Season 1,4.36,"Action, Adventure","Android, Ps Vita, Macos, Pc, Ios, Playstation 4, Playstation 3, Xbox 360, Nintendo Switch, Xbox One",Mature,1.1230151068945795,3,"['action', 'adventure']","['android', 'ps vita', 'macos', 'pc', 'ios', 'playstation 4', 'playstation 3', 'xbox 360', 'nintendo switch', 'xbox one']",1558
Half-Life 2: Episode One,4.38,"Action, Shooter","Linux, Pc, Xbox 360, Android, Macos",Mature,1.1531005695399363,3,"['action', 'shooter']","['linux', 'pc', 'xbox 360', 'android', 'macos']",1559
Half-Life 2: Episode Two,4.45,"Action, Shooter, Puzzle","Android, Linux, Macos, Pc, Xbox 360",Mature,1.2583996887986877,3,"['action', 'shooter', 'puzzle']","['android', 'linux', 'macos', 'pc', 'xbox 360']",1560
Stardew Valley,4.4,"Rpg, Simulation, Indie","Nintendo Switch, Xbox One, Pc, Ios, Macos, Linux, Playstation 4, Ps Vita, Android",Everyone 10+,1.1831860321852945,2,"['rpg', 'simulation', 'indie']","['nintendo switch', 'xbox one', 'pc', 'ios', 'macos', 'linux', 'playstation 4', 'ps vita', 'android']",1561
Grand Theft Auto: Vice City,4.44,Action,"Android, Macos, Pc, Ios, Playstation 4, Ps Vita, Playstation 2, Xbox",Mature,1.2433569574760093,3,['action'],"['android', 'macos', 'pc', 'ios', 'playstation 4', 'ps vita', 'playstation 2', 'xbox']",1562
Ark: Survival Of The Fittest,2.59,"Action, Rpg, Strategy, Massively Multiplayer, Indie","Android, Linux, Macos, Pc, Ios",Teen,-1.5395483372195522,5,"['action', 'rpg', 'strategy', 'massively multiplayer', 'indie']","['android', 'linux', 'macos', 'pc', 'ios']",1563
Minecraft,4.43,"Action, Simulation, Arcade, Massively Multiplayer, Indie","Android, Ps Vita, Playstation 4, Playstation 3, Xbox 360, Nintendo 3Ds, Nintendo Switch, Macos, Pc, Ios, Wii U, Xbox One, Linux",Everyone 10+,1.2283142261533295,2,"['action', 'simulation', 'arcade', 'massively multiplayer', 'indie']","['android', 'ps vita', 'playstation 4', 'playstation 3', 'xbox 360', 'nintendo 3ds', 'nintendo switch', 'macos', 'pc', 'ios', 'wii u', 'xbox one', 'linux']",1564
Middle-Earth: Shadow Of War,3.85,"Action, Rpg","Pc, Xbox One, Playstation 4, Android",Mature,0.3558358094379651,3,"['action', 'rpg']","['pc', 'xbox one', 'playstation 4', 'android']",1565
Brothers: A Tale Of Two Sons,4.18,"Action, Adventure, Indie","Playstation 3, Xbox One, Ios, Nintendo Switch, Xbox 360, Playstation 4, Android, Pc",Teen,0.8522459430863619,5,"['action', 'adventure', 'indie']","['playstation 3', 'xbox one', 'ios', 'nintendo switch', 'xbox 360', 'playstation 4', 'android', 'pc']",1566
Brawlhalla,3.22,"Action, Casual, Fighting, Indie","Xbox One, Android, Ios, Pc, Macos, Nintendo Switch, Playstation 4",Everyone 10+,-0.5918562638907932,2,"['action', 'casual', 'fighting', 'indie']","['xbox one', 'android', 'ios', 'pc', 'macos', 'nintendo switch', 'playstation 4']",1567
Alien: Isolation,4.2,"Action, Adventure","Pc, Xbox One, Nintendo Switch, Android, Ios, Playstation 4",Mature,0.8823314057317201,3,"['action', 'adventure']","['pc', 'xbox one', 'nintendo switch', 'android', 'ios', 'playstation 4']",1568
Batman: Arkham Origins,3.95,Action,"Playstation 3, Pc, Android, Xbox 360",Teen,0.5062631226647524,5,['action'],"['playstation 3', 'pc', 'android', 'xbox 360']",1569
Among Us,3.84,"Action, Simulation, Casual","Android, Nintendo Switch, Pc, Ios, Playstation 4, Playstation 5, Xbox One",Everyone 10+,0.3407930781152861,2,"['action', 'simulation', 'casual']","['android', 'nintendo switch', 'pc', 'ios', 'playstation 4', 'playstation 5', 'xbox one']",1570
The Wolf Among Us,4.39,Adventure,"Ps Vita, Playstation 4, Xbox One, Ios, Pc, Android, Xbox 360, Macos",Mature,1.1681433008626148,3,['adventure'],"['ps vita', 'playstation 4', 'xbox one', 'ios', 'pc', 'android', 'xbox 360', 'macos']",1571
This War Of Mine,4.07,"Adventure, Simulation, Indie","Android, Ps Vita, Nintendo Switch, Linux, Macos, Pc, Ios",Mature,0.686775898536897,3,"['adventure', 'simulation', 'indie']","['android', 'ps vita', 'nintendo switch', 'linux', 'macos', 'pc', 'ios']",1572
Grand Theft Auto Iii,4.16,"Action, Shooter","Macos, Pc, Ios, Android, Playstation 4, Playstation 2, Xbox",Mature,0.8221604804410052,3,"['action', 'shooter']","['macos', 'pc', 'ios', 'android', 'playstation 4', 'playstation 2', 'xbox']",1573
"Papers, Please",4.38,"Simulation, Educational, Indie, Puzzle","Linux, Macos, Pc, Ios, Android, Ps Vita",Mature,1.1531005695399363,3,"['simulation', 'educational', 'indie', 'puzzle']","['linux', 'macos', 'pc', 'ios', 'android', 'ps vita']",2577
Fallout Shelter,3.43,"Rpg, Simulation","Playstation 4, Xbox One, Pc, Nintendo Switch, Android, Ios",Teen,-0.2759589061145404,5,"['rpg', 'simulation']","['playstation 4', 'xbox one', 'pc', 'nintendo switch', 'android', 'ios']",1575
Star Wars: Knights Of The Old Republic,4.36,"Action, Rpg","Xbox 360, Xbox, Nintendo Switch, Xbox One, Android, Ios, Pc, Macos",Mature,1.1230151068945795,3,"['action', 'rpg']","['xbox 360', 'xbox', 'nintendo switch', 'xbox one', 'android', 'ios', 'pc', 'macos']",1576
Resident Evil 4 (2005),4.4,"Action, Shooter","Gamecube, Android, Pc, Ios, Playstation 4, Playstation 2, Wii",Mature,1.1831860321852945,3,"['action', 'shooter']","['gamecube', 'android', 'pc', 'ios', 'playstation 4', 'playstation 2', 'wii']",1577
Syberia,3.93,"Adventure, Puzzle","Nintendo Ds, Nintendo Switch, Macos, Pc, Ios, Playstation 3, Xbox 360, Android",Teen,0.4761776600193949,5,"['adventure', 'puzzle']","['nintendo ds', 'nintendo switch', 'macos', 'pc', 'ios', 'playstation 3', 'xbox 360', 'android']",1578
Grim Fandango Remastered,4.0,"Adventure, Puzzle","Pc, Playstation 4, Ps Vita, Xbox One, Nintendo Switch, Ios, Linux, Macos, Android",Teen,0.5814767792781457,5,"['adventure', 'puzzle']","['pc', 'playstation 4', 'ps vita', 'xbox one', 'nintendo switch', 'ios', 'linux', 'macos', 'android']",1579
Hotline Miami 2: Wrong Number,4.29,"Action, Shooter, Arcade, Indie","Android, Ps Vita, Playstation 4, Playstation 3, Linux, Macos, Pc, Nintendo Switch, Ios",Mature,1.0177159876358282,3,"['action', 'shooter', 'arcade', 'indie']","['android', 'ps vita', 'playstation 4', 'playstation 3', 'linux', 'macos', 'pc', 'nintendo switch', 'ios']",1580
The Walking Dead: Season 2,4.06,"Action, Adventure","Macos, Pc, Ios, Android, Ps Vita, Playstation 3, Xbox 360, Nintendo Switch, Playstation 4, Xbox One",Mature,0.6717331672142173,3,"['action', 'adventure']","['macos', 'pc', 'ios', 'android', 'ps vita', 'playstation 3', 'xbox 360', 'nintendo switch', 'playstation 4', 'xbox one']",1581
