Name,Rating,Genres,Platforms,ESRB,Genres_list,Platforms_list,Cluster
Portal,4.49,"Action, Puzzle","macOS, PC, Android, PlayStation 3, Xbox 360, Linux, Nintendo Switch",Teen,"['Action', 'Puzzle']","['macOS', 'PC', 'Android', 'PlayStation 3', 'Xbox 360', 'Linux', 'Nintendo Switch']",0
Half-Life 2,4.48,"Action, Shooter","PC, macOS, Xbox 360, Linux, Xbox, Android",Mature,"['Action', 'Shooter']","['PC', 'macOS', 'Xbox 360', 'Linux', 'Xbox', 'Android']",1
Borderlands 2,4.01,"Action, Shooter, RPG","PlayStation 3, macOS, PC, Android, Linux, PS Vita, Xbox 360",Mature,"['Action', 'Shooter', 'RPG']","['PlayStation 3', 'macOS', 'PC', 'Android', 'Linux', 'PS Vita', 'Xbox 360']",1
Life is Strange,4.12,Adventure,"iOS, PC, Linux, PlayStation 3, macOS, Xbox 360, Android, PlayStation 4, Xbox One",Mature,['Adventure'],"['iOS', 'PC', 'Linux', 'PlayStation 3', 'macOS', 'Xbox 360', 'Android', 'PlayStation 4', 'Xbox One']",1
Limbo,4.14,"Action, Adventure, Indie, Puzzle, Platformer","PC, Android, PS Vita, PlayStation 4, PlayStation 3, Xbox 360, Linux, macOS, iOS, Xbox One, Nintendo Switch",Teen,"['Action', 'Adventure', 'Indie', 'Puzzle', 'Platformer']","['PC', 'Android', 'PS Vita', 'PlayStation 4', 'PlayStation 3', 'Xbox 360', 'Linux', 'macOS', 'iOS', 'Xbox One', 'Nintendo Switch']",0
Terraria,4.07,"Action, Indie, Platformer","Xbox 360, Wii U, Nintendo 3DS, Xbox One, PlayStation 4, iOS, PC, macOS, Linux, Nintendo Switch, PlayStation 3, PS Vita, Android",Teen,"['Action', 'Indie', 'Platformer']","['Xbox 360', 'Wii U', 'Nintendo 3DS', 'Xbox One', 'PlayStation 4', 'iOS', 'PC', 'macOS', 'Linux', 'Nintendo Switch', 'PlayStation 3', 'PS Vita', 'Android']",0
Grand Theft Auto: San Andreas,4.51,Action,"macOS, PC, iOS, Xbox, Android, PlayStation 4, PlayStation 3, PlayStation 2, Xbox 360, Xbox One",Mature,['Action'],"['macOS', 'PC', 'iOS', 'Xbox', 'Android', 'PlayStation 4', 'PlayStation 3', 'PlayStation 2', 'Xbox 360', 'Xbox One']",1
The Walking Dead: Season 1,4.36,"Action, Adventure","Android, PS Vita, macOS, PC, iOS, PlayStation 4, PlayStation 3, Xbox 360, Nintendo Switch, Xbox One",Mature,"['Action', 'Adventure']","['Android', 'PS Vita', 'macOS', 'PC', 'iOS', 'PlayStation 4', 'PlayStation 3', 'Xbox 360', 'Nintendo Switch', 'Xbox One']",1
Half-Life 2: Episode One,4.38,"Action, Shooter","Linux, PC, Xbox 360, Android, macOS",Mature,"['Action', 'Shooter']","['Linux', 'PC', 'Xbox 360', 'Android', 'macOS']",1
Half-Life 2: Episode Two,4.45,"Action, Shooter, Puzzle","Android, Linux, macOS, PC, Xbox 360",Mature,"['Action', 'Shooter', 'Puzzle']","['Android', 'Linux', 'macOS', 'PC', 'Xbox 360']",1
Stardew Valley,4.4,"RPG, Simulation, Indie","Nintendo Switch, Xbox One, PC, iOS, macOS, Linux, PlayStation 4, PS Vita, Android",Everyone 10+,"['RPG', 'Simulation', 'Indie']","['Nintendo Switch', 'Xbox One', 'PC', 'iOS', 'macOS', 'Linux', 'PlayStation 4', 'PS Vita', 'Android']",2
Grand Theft Auto: Vice City,4.44,Action,"Android, macOS, PC, iOS, PlayStation 4, PS Vita, PlayStation 2, Xbox",Mature,['Action'],"['Android', 'macOS', 'PC', 'iOS', 'PlayStation 4', 'PS Vita', 'PlayStation 2', 'Xbox']",1
ARK: Survival Of The Fittest,2.59,"Action, RPG, Strategy, Massively Multiplayer, Indie","Android, Linux, macOS, PC, iOS",Teen,"['Action', 'RPG', 'Strategy', 'Massively Multiplayer', 'Indie']","['Android', 'Linux', 'macOS', 'PC', 'iOS']",0
Minecraft,4.43,"Action, Simulation, Arcade, Massively Multiplayer, Indie","Android, PS Vita, PlayStation 4, PlayStation 3, Xbox 360, Nintendo 3DS, Nintendo Switch, macOS, PC, iOS, Wii U, Xbox One, Linux",Everyone 10+,"['Action', 'Simulation', 'Arcade', 'Massively Multiplayer', 'Indie']","['Android', 'PS Vita', 'PlayStation 4', 'PlayStation 3', 'Xbox 360', 'Nintendo 3DS', 'Nintendo Switch', 'macOS', 'PC', 'iOS', 'Wii U', 'Xbox One', 'Linux']",2
Middle-earth: Shadow of War,3.85,"Action, RPG","PC, Xbox One, PlayStation 4, Android",Mature,"['Action', 'RPG']","['PC', 'Xbox One', 'PlayStation 4', 'Android']",1
Brothers: A Tale of Two Sons,4.18,"Action, Adventure, Indie","PlayStation 3, Xbox One, iOS, Nintendo Switch, Xbox 360, PlayStation 4, Android, PC",Teen,"['Action', 'Adventure', 'Indie']","['PlayStation 3', 'Xbox One', 'iOS', 'Nintendo Switch', 'Xbox 360', 'PlayStation 4', 'Android', 'PC']",0
Brawlhalla,3.22,"Action, Casual, Fighting, Indie","Xbox One, Android, iOS, PC, macOS, Nintendo Switch, PlayStation 4",Everyone 10+,"['Action', 'Casual', 'Fighting', 'Indie']","['Xbox One', 'Android', 'iOS', 'PC', 'macOS', 'Nintendo Switch', 'PlayStation 4']",2
Alien: Isolation,4.2,"Action, Adventure","PC, Xbox One, Nintendo Switch, Android, iOS, PlayStation 4",Mature,"['Action', 'Adventure']","['PC', 'Xbox One', 'Nintendo Switch', 'Android', 'iOS', 'PlayStation 4']",1
Batman: Arkham Origins,3.95,Action,"PlayStation 3, PC, Android, Xbox 360",Teen,['Action'],"['PlayStation 3', 'PC', 'Android', 'Xbox 360']",0
Among Us,3.84,"Action, Simulation, Casual","Android, Nintendo Switch, PC, iOS, PlayStation 4, PlayStation 5, Xbox One",Everyone 10+,"['Action', 'Simulation', 'Casual']","['Android', 'Nintendo Switch', 'PC', 'iOS', 'PlayStation 4', 'PlayStation 5', 'Xbox One']",2
The Wolf Among Us,4.39,Adventure,"PS Vita, PlayStation 4, Xbox One, iOS, PC, Android, Xbox 360, macOS",Mature,['Adventure'],"['PS Vita', 'PlayStation 4', 'Xbox One', 'iOS', 'PC', 'Android', 'Xbox 360', 'macOS']",1
This War of Mine,4.07,"Adventure, Simulation, Indie","Android, PS Vita, Nintendo Switch, Linux, macOS, PC, iOS",Mature,"['Adventure', 'Simulation', 'Indie']","['Android', 'PS Vita', 'Nintendo Switch', 'Linux', 'macOS', 'PC', 'iOS']",1
Grand Theft Auto III,4.16,"Action, Shooter","macOS, PC, iOS, Android, PlayStation 4, PlayStation 2, Xbox",Mature,"['Action', 'Shooter']","['macOS', 'PC', 'iOS', 'Android', 'PlayStation 4', 'PlayStation 2', 'Xbox']",1
"Papers, Please",4.38,"Simulation, Educational, Indie, Puzzle","Linux, macOS, PC, iOS, Android, PS Vita",Mature,"['Simulation', 'Educational', 'Indie', 'Puzzle']","['Linux', 'macOS', 'PC', 'iOS', 'Android', 'PS Vita']",1
Fallout Shelter,3.43,"RPG, Simulation","PlayStation 4, Xbox One, PC, Nintendo Switch, Android, iOS",Teen,"['RPG', 'Simulation']","['PlayStation 4', 'Xbox One', 'PC', 'Nintendo Switch', 'Android', 'iOS']",0
Star Wars: Knights of the Old Republic,4.36,"Action, RPG","Xbox 360, Xbox, Nintendo Switch, Xbox One, Android, iOS, PC, macOS",Mature,"['Action', 'RPG']","['Xbox 360', 'Xbox', 'Nintendo Switch', 'Xbox One', 'Android', 'iOS', 'PC', 'macOS']",1
Resident Evil 4 (2005),4.4,"Action, Shooter","GameCube, Android, PC, iOS, PlayStation 4, PlayStation 2, Wii",Mature,"['Action', 'Shooter']","['GameCube', 'Android', 'PC', 'iOS', 'PlayStation 4', 'PlayStation 2', 'Wii']",1
