Name,Rating,Genres,Platforms,ESRB,Rating_scaled,ESRB_cat,Genre_Action,Genre_Adventure,Genre_Arcade,Genre_Board Games,Genre_Card,Genre_Casual,Genre_Educational,Genre_Family,Genre_Fighting,Genre_Indie,Genre_Massively Multiplayer,Genre_Platformer,Genre_Puzzle,Genre_Racing,Genre_Rpg,Genre_Shooter,Genre_Simulation,Genre_Sports,Genre_Strategy,Platform_3Do,Platform_Android,Platform_Apple Ii,Platform_Atari 2600,Platform_Atari 5200,Platform_Atari 8-Bit,Platform_Atari St,Platform_Classic Macintosh,Platform_Commodore / Amiga,Platform_Dreamcast,Platform_Game Boy,Platform_Game Boy Advance,Platform_Game Boy Color,Platform_Game Gear,Platform_Gamecube,Platform_Genesis,Platform_Ios,Platform_Jaguar,Platform_Linux,Platform_Macos,Platform_Neo Geo,Platform_Nes,Platform_Nintendo 3Ds,Platform_Nintendo 64,Platform_Nintendo Ds,Platform_Nintendo Dsi,Platform_Nintendo Switch,Platform_Pc,Platform_Playstation,Platform_Playstation 2,Platform_Playstation 3,Platform_Playstation 4,Platform_Playstation 5,Platform_Ps Vita,Platform_Psp,Platform_Sega 32X,Platform_Sega Cd,Platform_Sega Master System,Platform_Sega Saturn,Platform_Snes,Platform_Web,Platform_Wii,Platform_Wii U,Platform_Xbox,Platform_Xbox 360,Platform_Xbox One,Platform_Xbox Series S/X,Cluster,db_id
Portal,4.49,"Action, Puzzle","Macos, Pc, Android, Playstation 3, Xbox 360, Linux, Nintendo Switch",Teen,1.3185706140894025,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1551
Half-Life 2,4.48,"Action, Shooter","Pc, Macos, Xbox 360, Linux, Xbox, Android",Mature,1.3035278827667245,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1552
Borderlands 2,4.01,"Action, Shooter, Rpg","Playstation 3, Macos, Pc, Android, Linux, Ps Vita, Xbox 360",Mature,0.596519510600824,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1553
Life Is Strange,4.12,Adventure,"Ios, Pc, Linux, Playstation 3, Macos, Xbox 360, Android, Playstation 4, Xbox One",Mature,0.7619895551502903,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1554
Limbo,4.14,"Action, Adventure, Indie, Puzzle, Platformer","Pc, Android, Ps Vita, Playstation 4, Playstation 3, Xbox 360, Linux, Macos, Ios, Xbox One, Nintendo Switch",Teen,0.792075017795647,5,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1555
Terraria,4.07,"Action, Indie, Platformer","Xbox 360, Wii U, Nintendo 3Ds, Xbox One, Playstation 4, Ios, Pc, Macos, Linux, Nintendo Switch, Playstation 3, Ps Vita, Android",Teen,0.686775898536897,5,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,2,1556
Grand Theft Auto: San Andreas,4.51,Action,"Macos, Pc, Ios, Xbox, Android, Playstation 4, Playstation 3, Playstation 2, Xbox 360, Xbox One",Mature,1.3486560767347593,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1557
The Walking Dead: Season 1,4.36,"Action, Adventure","Android, Ps Vita, Macos, Pc, Ios, Playstation 4, Playstation 3, Xbox 360, Nintendo Switch, Xbox One",Mature,1.1230151068945795,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1558
Half-Life 2: Episode One,4.38,"Action, Shooter","Linux, Pc, Xbox 360, Android, Macos",Mature,1.1531005695399363,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1559
Half-Life 2: Episode Two,4.45,"Action, Shooter, Puzzle","Android, Linux, Macos, Pc, Xbox 360",Mature,1.2583996887986877,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1560
